483 188 327 348 309 345 451 343 477 448 472 453 389 284 395 482
509 233 286 261 338 239 386 332 441 343 400 328 418 285 398 379
668 312 441 465 465 393 560 554 630 475 593 559 560 368 502 541
728 340 482 498 464 410 615 467 649 521 616 543 614 430 611 595
665 310 446 372 465 399 563 469 578 575 599 468 557 404 553 552
526 265 340 413 335 299 457 410 513 349 498 462 446 305 469 481
673 328 430 434 432 431 518 444 667 536 599 502 568 392 568 499
577 320 399 470 336 363 534 525 576 456 562 514 482 390 552 570
379 185 296 271 326 277 373 236 354 303 356 391 397 205 318 406
438 168 356 334 216 238 469 389 409 447 467 405 385 384 396 496
479 229 325 282 400 326 379 224 408 353 381 290 402 230 410 344
350 173 245 264 295 243 322 223 387 335 297 296 308 177 307 319
675 307 490 470 432 377 634 529 559 504 637 507 571 428 581 633
541 289 400 344 320 305 428 408 509 434 472 306 469 389 511 385
530 256 407 387 417 342 471 337 484 450 444 377 550 309 456 474
579 317 348 356 360 276 442 494 571 371 463 472 475 335 468 452
