92 49 66 49 7 71 20 18 63 1 92 60 78 70 20 76 33 58 95 68 78 5 89 74 10 47 65 57 65 25 46 26 23 90 15 41 72 2 36 0 18 43 56 86 88 22 31 73 90 56 35 15 8 6 2 41 70 43 98 58 57 73 71 70
35 21 23 3 59 16 29 87 51 20 94 46 3 1 15 16 55 19 78 31 91 4 36 13 82 37 11 85 41 39 14 12 11 31 6 15 72 97 93 10 19 30 47 90 100 60 86 15 65 73 44 75 38 89 92 91 67 85 58 67 26 62 48 84
7 84 99 37 54 32 29 53 56 86 49 82 55 77 40 47 28 39 83 35 67 58 79 0 98 66 51 7 26 97 29 15 13 28 20 49 74 15 91 37 36 89 36 96 95 44 21 4 24 29 33 28 1 91 14 48 12 66 97 73 0 76 84 68
86 50 8 36 65 81 43 98 99 6 70 32 59 33 44 59 92 100 74 73 17 76 33 74 75 88 48 26 61 52 38 67 74 6 87 85 69 94 55 92 40 1 37 90 48 17 11 54 23 79 57 33 59 79 9 47 20 50 4 50 29 28 9 70
9 10 41 27 60 22 48 28 63 31 52 38 24 32 98 8 67 34 80 10 32 18 15 81 91 29 6 69 63 12 93 33 13 6 77 68 26 23 52 100 22 14 38 0 12 19 8 4 55 7 100 0 57 47 72 16 91 37 19 65 82 20 2 90
55 36 99 26 45 33 94 95 86 83 28 13 40 77 93 50 79 91 40 25 27 54 74 57 61 27 39 43 76 92 19 62 18 58 94 45 0 7 18 17 67 96 25 4 6 19 15 50 39 47 72 56 1 80 17 8 90 69 52 3 90 65 33 59
92 82 49 75 16 46 84 61 49 61 0 66 81 38 31 78 18 70 13 44 23 57 63 5 46 8 81 32 23 46 66 78 40 84 8 50 35 67 61 17 96 72 98 87 39 93 81 21 76 40 36 44 59 88 16 63 38 10 64 19 100 93 49 32
52 12 61 13 77 35 29 78 2 92 29 2 30 22 87 13 14 3 16 59 70 61 60 32 4 18 79 4 29 91 39 74 33 35 7 15 90 8 73 10 43 30 66 44 56 49 97 48 39 92 57 16 36 67 48 31 25 4 34 75 0 81 22 100
5 65 1 81 99 7 96 6 24 89 67 23 49 56 56 70 5 48 82 31 31 4 24 94 60 76 12 31 2 29 19 74 46 35 98 70 75 6 88 61 81 83 51 44 93 80 19 66 26 43 38 71 2 7 95 47 60 87 65 31 74 35 56 20
44 74 77 30 14 51 73 59 55 24 15 98 78 22 54 83 62 68 3 43 98 27 28 86 78 91 41 43 29 79 3 6 10 4 52 20 29 70 47 41 80 81 20 33 94 18 78 4 35 95 37 54 98 12 74 21 63 65 35 75 8 27 68 28
