82 0 18 8 63 54 94 14 12 7 90 86 92 15 0 9 59 21 87 42 98 17 85 76 37 26 80 19 67 14 74 22 9 41 25 82 99 78 20 54 100 15 48 42 8 72 51 13 67 70 52 46 29 93 26 88 23 8 82 20 1 59 56 87
34 92 27 7 95 55 36 81 60 3 78 45 43 26 19 25 77 16 57 24 22 28 23 11 8 58 67 57 61 41 31 27 97 65 76 32 20 60 16 46 94 21 6 24 28 33 72 76 98 36 83 36 29 37 54 66 31 47 67 12 51 7 30 94
88 1 6 12 52 97 6 25 13 16 91 38 43 53 49 59 17 65 12 76 8 88 43 3 23 43 54 66 42 15 60 42 62 49 90 46 83 56 57 81 55 70 18 48 7 36 76 62 28 0 54 33 29 64 8 28 36 29 38 69 72 19 76 48
27 2 33 68 96 27 97 2 11 52 1 60 2 82 62 52 50 18 98 79 36 88 37 44 100 41 69 69 11 83 78 100 15 9 22 68 36 30 59 36 92 96 34 67 73 59 27 40 53 38 26 8 2 89 60 66 21 41 72 91 70 78 67 57
78 71 5 22 27 26 65 53 44 84 96 30 51 72 12 92 38 11 84 38 74 49 70 13 91 5 96 35 82 74 11 92 40 64 68 60 46 55 70 98 64 64 88 86 34 91 19 84 93 32 35 39 92 48 2 65 68 43 42 75 90 35 94 100
61 54 10 23 53 31 42 94 27 30 7 10 97 50 13 66 98 36 6 32 60 61 95 98 79 26 63 96 25 9 58 55 89 95 82 13 11 100 30 56 78 90 4 95 65 26 6 3 16 39 18 24 69 63 45 90 74 87 5 83 70 84 49 40
1 52 7 0 92 56 60 77 95 19 28 37 27 90 31 50 94 40 28 48 45 72 22 94 13 24 82 24 51 82 87 60 54 48 95 1 78 48 39 77 57 21 35 13 48 95 42 9 79 18 35 49 23 46 33 89 1 71 59 22 94 13 52 22
70 50 91 73 21 38 35 40 52 6 49 22 75 96 8 64 90 9 41 28 92 14 76 94 55 71 19 75 81 22 69 7 54 60 88 12 45 69 34 68 19 69 64 70 38 74 70 95 10 21 19 70 50 11 95 33 35 1 30 39 1 70 79 87
1 6 31 56 83 24 21 72 44 95 98 64 11 46 41 8 44 69 63 15 0 58 52 99 5 66 75 39 51 10 24 58 44 59 39 22 30 48 13 20 91 31 83 8 33 0 98 39 89 59 84 13 79 11 30 43 24 2 41 42 82 19 57 69
69 23 59 55 13 68 3 48 31 24 57 78 77 29 28 4 75 55 92 39 51 19 76 69 68 12 22 85 30 66 34 90 18 22 94 45 36 75 8 84 52 2 4 10 10 85 55 53 52 60 38 83 38 10 43 81 93 23 59 94 3 40 77 17
88 11 38 74 44 26 15 44 47 63 27 43 77 93 63 75 91 99 41 28 14 6 88 70 83 13 42 37 87 96 55 46 25 67 44 53 48 21 55 87 100 82 79 13 37 70 4 91 98 17 0 93 22 45 66 93 77 60 31 10 52 34 92 0
43 99 96 83 88 97 37 95 78 20 13 62 54 50 22 32 37 21 71 24 50 6 23 37 92 7 79 71 5 82 6 40 28 15 16 100 43 25 32 4 38 43 5 52 38 56 58 34 76 94 31 83 72 94 38 87 38 93 14 53 65 93 21 17
63 7 74 39 71 50 88 58 17 24 15 28 17 88 66 6 11 92 98 64 57 94 94 6 14 74 40 34 73 62 41 10 53 78 31 72 70 9 100 62 20 8 29 48 48 34 28 67 72 5 84 48 78 64 13 50 69 33 100 62 76 84 61 20
59 6 89 13 50 43 44 79 2 75 27 48 93 21 19 93 53 67 43 96 64 52 2 44 30 56 4 88 90 33 23 65 56 21 68 98 68 71 73 27 73 94 27 45 80 33 54 73 0 20 28 66 70 93 9 59 70 44 10 28 28 63 47 91
22 66 60 19 61 57 64 72 71 15 43 31 21 11 9 5 34 75 64 18 20 15 56 54 78 84 20 75 46 28 49 100 41 17 94 5 0 86 57 75 31 39 92 80 69 7 44 22 20 51 78 46 62 6 30 93 59 10 33 19 60 87 62 71
79 34 69 72 7 61 39 14 61 83 39 83 1 12 92 6 85 38 91 91 34 65 89 54 49 10 4 43 47 43 81 68 91 73 95 64 7 79 72 49 11 59 61 53 85 46 11 56 26 76 53 42 76 31 83 16 97 72 3 41 89 21 20 13
29 12 39 67 24 81 84 69 41 9 42 75 60 57 56 57 18 47 88 57 33 58 16 79 55 25 64 40 15 35 38 43 30 25 60 96 46 75 98 80 89 24 50 67 51 66 38 45 8 14 15 3 51 95 63 37 78 72 93 36 64 6 68 42
93 64 22 6 2 88 77 39 92 98 62 14 61 47 42 44 21 10 14 19 62 31 42 60 88 5 25 37 97 88 52 66 65 16 95 27 78 10 43 52 70 66 74 48 86 57 77 61 74 94 53 93 33 1 20 26 54 79 37 16 79 68 1 66
30 75 13 38 85 16 12 12 48 65 45 6 47 37 11 2 53 89 20 71 59 67 33 95 99 66 42 44 88 0 9 59 29 63 40 95 82 52 92 60 94 37 11 33 47 40 92 54 83 42 28 4 0 16 98 83 9 95 99 90 49 54 22 32
54 81 17 49 1 9 9 64 92 28 1 53 60 76 55 5 8 44 62 65 69 40 57 63 1 28 17 38 49 70 91 75 25 25 4 91 63 85 90 22 42 48 89 26 26 94 69 52 34 5 72 48 58 76 44 7 89 4 54 44 40 52 92 60
33 27 94 78 55 31 66 50 50 87 3 75 73 46 11 24 24 67 78 33 16 22 83 88 35 71 89 7 41 34 20 64 36 26 29 19 36 85 84 36 82 40 53 98 63 36 98 28 13 68 74 38 17 84 84 28 26 80 56 67 88 25 77 21
23 43 3 14 12 61 38 6 93 3 40 84 41 71 23 12 64 73 24 52 65 24 39 12 53 13 34 44 12 30 38 50 81 85 3 74 89 38 4 30 81 33 0 26 56 95 12 88 67 28 45 53 19 61 54 56 46 47 18 21 71 86 53 19
